| Name                          | Version                           | License                                                                                          | URL                                                             |
| toml                          | 0.10.2                            | MIT License                                                                                      | https://github.com/uiri/toml                                    |
| tomli                         | 2.0.1                             | MIT License                                                                                      | UNKNOWN                                                         |
| tornado                       | 6.1                               | Apache Software License                                                                          | http://www.tornadoweb.org/                                      |
| tox                           | 3.26.0                            | MIT License                                                                                      | https://tox.readthedocs.io                                      |
| tqdm                          | 4.64.0                            | MIT License; Mozilla Public License 2.0 (MPL 2.0)                                                | https://tqdm.github.io                                          |
| traitlets                     | 5.1.1                             | BSD License                                                                                      | https://github.com/ipython/traitlets                            |
| typed-ast                     | 1.4.3                             | Apache License 2.0                                                                               | https://github.com/python/typed_ast                             |
| typing_extensions             | 4.2.0                             | Python Software Foundation License                                                               | UNKNOWN                                                         |
| typish                        | 1.9.3                             | MIT License                                                                                      | https://github.com/ramonhagenaars/typish                        |
| urllib3                       | 1.26.9                            | MIT License                                                                                      | https://urllib3.readthedocs.io/                                 |
| virtualenv                    | 20.14.1                           | MIT License                                                                                      | https://virtualenv.pypa.io/                                     |
| webencodings                  | 0.5.1                             | BSD License                                                                                      | https://github.com/SimonSapin/python-webencodings               |
| widgetsnbextension            | 3.6.0                             | BSD License                                                                                      | http://ipython.org                                              |
| wrapt                         | 1.14.0                            | BSD License                                                                                      | https://github.com/GrahamDumpleton/wrapt                        |
| zipp                          | 3.8.1                             | MIT License                                                                                      | https://github.com/jaraco/zipp                                  |
